x,y,z
0.2081386416273159,-1.0302933405246737,-1.6290229853161924
0.2105062880719417,-1.024551267836689,-1.6185270032333197
0.21287483431347748,-1.0188084571435012,-1.6080310196038015
0.21524427901890558,-1.0130649095384376,-1.5975350344302117
0.21761461970892515,-1.002320039328104,-1.5870388874957257
0.21998585559118156,-0.9915738484634645,-1.5765427415993312
0.22235798534487777,-0.9808263388930561,-1.5660465967400279
0.22473100765264598,-0.9700775125603565,-1.5555504529168105
0.22211381990420975,-0.9643272705038465,-1.5800558459766807
0.21949675552316317,-0.9585767136153082,-1.6045612391353732
0.21687981443156037,-0.9528258420936571,-1.6290666323928498
0.21426299655154224,-0.9470746561375872,-1.6535720257490722
0.21164630174877136,-0.9413231559144896,-1.6780774192043186
0.2090202522911871,-0.9455731840744344,-1.6675831239833458
0.20639450801976056,-0.9498236503707402,-1.6570888274215754
0.20376906848717358,-0.9540745541612224,-1.646594529521026
0.2011439320815247,-0.9483247322579887,-1.6360999177065898
0.1985190993601127,-0.9425741857168148,-1.6256053060298763
0.19589456987955436,-0.9368229155956795,-1.6151106944908118
0.19327455534139162,-0.9410717403562322,-1.6196163902320602
0.19065491920778882,-0.9453211232470007,-1.6241220843064401
0.18803566077063433,-0.9495710632235529,-1.6286277767171597
0.19041474985608892,-0.9588225866094197,-1.6231322465448945
0.19279493834127223,-0.9680753785181468,-1.6176367139961765
0.19517622422246259,-0.9773294366377783,-1.6121411790759181
0.1975586055023629,-0.9865847586637707,-1.6066456417890222
0.19493562562921157,-1.0008413894517743,-1.5811516404047496
0.19231277390361998,-1.015098680963759,-1.5556576398458861
0.18969005024811422,-1.0293566328002715,-1.5301636401120267
0.18706745458530294,-1.043615244562283,-1.5046696412027663
0.18444498693750844,-1.0578745158212377,-1.479175643117199
0.1818283769296578,-1.0721351018548522,-1.4736816468054088
0.1792121364668168,-1.0863976599573886,-1.4681876530273599
0.1765962648813343,-1.1006621865659212,-1.4626936617793111
0.17898773368499385,-1.109926424473158,-1.4821981264455804
0.18137968971319895,-1.119191230616342,-1.5017025900623993
0.18377213256509456,-1.12845660452797,-1.5212070526307457
0.19114988080493336,-1.1327239904104633,-1.4857099741019146
0.19852799593062911,-1.1369914839248825,-1.4502128947167907
0.20590647780885657,-1.141259085032115,-1.414715814475716
0.20828806169468067,-1.1505267555614727,-1.3892202745942897
0.21067001055466,-1.1597948417479313,-1.3637247339228917
0.21305232416983821,-1.1690633433421305,-1.3382291924620577
0.21543500232149027,-1.1783322600949726,-1.3127336502123241
0.21283821358831645,-1.1825986057433933,-1.3622392962516383
0.21024146058292056,-1.1868650080989789,-1.4117449421325858
0.20764474329832613,-1.1911314671506568,-1.4612505878551987
0.20504806172755907,-1.1953979828873578,-1.510756233419508
0.2024514158951735,-1.199664555312606,-1.5602618788254043
0.19483147500335557,-1.1889337886799858,-1.5247683685738078
0.18721146820472412,-1.1782026986998282,-1.4892748596742222
0.17959139552306325,-1.1674712854888198,-1.4537813521261849
0.18197154359208595,-1.1567395475078293,-1.418285111756899
0.18435191270536905,-1.1460074859141638,-1.3827888716344905
0.186732502783057,-1.135275100824732,-1.3472926317588987
0.1841322846502401,-1.1345402486752676,-1.3817981018342897
0.18153213510298238,-1.1338053581493235,-1.416303571641753
0.17893205411630655,-1.1330704292608753,-1.4508090411813876
0.17133602788612784,-1.1273348825736607,-1.5003157028271736
0.16373995990186016,-1.1215992377645208,-1.5498223649077434
0.15614385017164073,-1.1158634948525776,-1.5993290274230187
0.15352321916264097,-1.1101307227406547,-1.5588343276031766
0.15090265078586293,-1.1043978065139808,-1.5183396278002312
0.14828214502317802,-1.0986647462142685,-1.4778449280141834
0.1456617018564669,-1.092931541883209,-1.4373502282450359
