Yaw,Roll,Pitch,ax,ay,az
210.8125,-10.125,-1.0625,-1.01,0.97,-1.69
210.5625,-10.375,-0.5625,-0.91,0.63,-1.48
210.4375,-10.4375,-0.75,-0.84,0.03,-1.15
210.375,-10.5,-1.0625,-0.93,-1.14,0.1
210.3125,-10.625,-1.4375,-0.71,-1.92,0.62
210.375,-10.6875,-1.8125,-0.28,-2.71,0.86
210.4375,-10.6875,-1.9375,0.08,-3.09,1.07
210.625,-10.625,-1.8125,0.56,-2.68,0.29
211.1875,-10.1875,-0.375,0.24,-1.68,-0.26
211.5,-9.875,0.75,-0.11,-0.55,-1
211.8125,-9.375,2,-1.35,2.07,-2.2
212.0625,-9,3.125,-1.8,2.95,-2.75
212.3125,-8.6875,3.9375,-2.17,3.47,-2.87
212.5,-8.5,4.1875,-1.58,2.92,-2.53
212.5625,-8.5625,4,-0.62,1.04,-1.03
212.625,-8.625,3.5,-0.18,0.07,-0.2
212.75,-8.9375,2.3125,1.23,-1.56,0.53
212.875,-8.875,1.875,1.38,-1.71,0.74
213.0625,-8.5625,1.6875,1.25,-1.5,0.75
213.125,-8.0625,1.75,0.26,-1.34,0.84
213.1875,-7.375,1.9375,-1.77,-0.99,-1.1
213.25,-6.625,2.125,-2.93,-0.95,-1.62
213.25,-5.875,2.4375,-4.39,-0.24,-2.11
213.5,-4.8125,3.0625,-4.3,-0.11,-2.26
213.75,-4.8125,3.3125,-3.77,0.09,-1.93
214.0625,-5.0625,3.4375,-2.94,0.28,-1.16
214.5,-5.5,3.3125,-0.7,-0.17,0.28
214.9375,-5.9375,3.125,0.31,-0.38,0.96
215.3125,-6.25,2.8125,1.13,-0.84,1.36
215.6875,-6.3125,2.625,0.53,-1.13,1.56
216.0625,-6,2.4375,-0.5,-1.09,1.17
216.4375,-5.4375,2.375,-1.36,-1.1,0.48
217.125,-3.6875,2.3125,-2.41,-1.04,-0.21
217.5625,-2.8125,2.3125,-3.9,-0.73,-0.99
218.0625,-2,2.1875,-4.42,-0.95,-1.2
218.5625,-1.4375,1.9375,-4.8,-1.25,-1.07
219.1875,-1,1.5,-4.38,-2.11,-0.25
219.9375,-0.75,1,-3.03,-3.04,0.8
221.5,-0.875,0.375,-2.03,-3.23,1.3
222.3125,-1.125,0.5625,-0.66,-2.63,1.98
223.25,-1.1875,0.9375,-0.55,-1.69,2.16
224.25,-1,1.5625,-0.69,-0.93,1.98
225.1875,-0.625,2.25,-0.92,-0.3,1.54
226.1875,0,2.8125,-1.49,0.33,0.15
227.125,0.75,3.25,-2.87,0.46,-1.26
228,1.625,3.5625,-3.53,0.68,-1.52
229.5625,2.9375,4.1875,-3.11,0.51,-1.68
230.3125,3.125,4.4375,-2.73,0.53,-1.25
231.0625,3.1875,4.5625,-2.22,0.45,-0.75
231.8125,3.1875,4.625,-0.92,-0.17,-0.1
232.5,3.1875,4.6875,-0.53,-0.37,0.18
233.25,3.25,4.75,-0.61,-0.39,0.49
233.9375,3.5,4.875,-0.91,-0.39,-0.26
235.375,4.3125,5.3125,-1.34,-0.11,-0.46
236.0625,4.6875,5.75,-1.39,0.3,-0.73
236.75,5,6.3125,-1.63,0.78,-0.55
237.4375,5.1875,6.8125,-1.04,1.22,-0.41
238.1875,5.3125,7.125,-0.64,1.2,-0.39
238.8125,5.4375,7.4375,-0.38,1.14,-0.4
239.4375,5.625,7.6875,-0.44,1.08,-0.63
240.5625,6.1875,8,-0.79,1.08,-0.66
241.125,6.5,8.1875,-0.97,0.99,-0.69
241.5625,6.75,8.375,-0.93,0.54,-0.98
242.0625,6.9375,8.5625,-0.92,0.6,-0.92
242.625,7.0625,8.8125,-0.64,0.61,-0.98
243.125,7.125,9.1875,-0.74,0.85,-0.75
243.6875,7.25,9.5,0.39,1.4,-2.22
244.4375,7.375,9.8125,-1.15,1.96,-1.25
245.625,7.6875,10.5,-0.29,1.62,-2.31
246.1875,7.75,10.8125,-0.58,2.53,-2.03
246.625,7.6875,11.1875,-0.57,2.74,-1.78
