Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
41902,-0.08,0.02,9.58,-0.0,-0.0,0.0,73.25,10.5,34.0
41908,-0.06,0.0,9.58,0.0,-0.0,-0.0,73.25,10.5,34.0
41909,-0.06,0.0,9.58,0.0,-0.0,-0.0,73.25,10.5,34.0
41911,-0.06,0.0,9.58,0.0,-0.0,-0.0,73.25,10.5,34.0
41916,-0.06,0.0,9.58,-0.0,0.0,0.0,73.25,10.5,34.0
41919,-0.05,-0.01,9.59,-0.0,0.0,0.0,73.25,10.5,34.0
41921,-0.05,-0.01,9.59,-0.0,0.0,0.0,73.25,10.5,34.0
41922,-0.05,-0.01,9.59,-0.0,0.0,0.0,73.25,10.5,34.0
41924,-0.05,-0.01,9.59,-0.0,0.0,0.0,73.25,10.5,34.0
41926,-0.05,-0.01,9.59,-0.0,0.0,0.0,73.25,9.69,34.38
41929,-0.04,-0.03,9.57,-0.0,0.0,0.0,73.25,9.69,34.38
41931,-0.04,-0.03,9.57,-0.0,0.0,0.0,73.25,9.69,34.38
41932,-0.04,-0.03,9.57,-0.0,0.0,0.0,73.25,9.69,34.38
41938,-0.02,-0.03,9.61,0.0,-0.0,0.0,73.25,9.69,34.38
41940,-0.02,-0.03,9.61,0.0,-0.0,0.0,73.25,9.69,34.38
41942,-0.02,-0.03,9.61,0.0,-0.0,0.0,73.25,9.69,34.38
41948,0.03,-0.03,9.57,-0.0,0.0,0.0,73.25,9.69,34.38
41950,0.03,-0.03,9.57,-0.0,0.0,0.0,73.25,9.69,34.38
41952,0.03,-0.03,9.57,-0.0,0.0,0.0,73.25,9.69,34.38
41958,-0.04,-0.01,9.56,-0.0,0.0,0.0,73.25,9.69,34.38
41960,-0.04,-0.01,9.56,-0.0,0.0,0.0,73.25,9.69,34.38
41961,-0.04,-0.01,9.56,-0.0,0.0,0.0,73.25,9.69,34.38
41966,-0.04,-0.01,9.56,-0.0,0.0,0.0,73.25,9.69,34.38
41969,-0.07,0.01,9.59,-0.0,0.0,0.0,73.25,9.69,34.38
41971,-0.07,0.01,9.59,-0.0,0.0,0.0,73.25,9.69,34.38
41972,-0.07,0.01,9.59,-0.0,0.0,0.0,73.25,9.69,34.38
41974,-0.07,0.01,9.59,-0.0,0.0,0.0,73.25,9.69,34.38
41976,-0.07,0.01,9.59,0.0,-0.0,0.0,73.69,10.5,32.75
41979,-0.08,0.1,9.61,0.0,-0.0,0.0,73.69,10.5,32.75
41980,-0.08,0.1,9.61,0.0,-0.0,0.0,73.69,10.5,32.75
41982,-0.08,0.1,9.61,0.0,-0.0,0.0,73.69,10.5,32.75
41988,-0.07,0.07,9.59,0.01,-0.0,0.0,73.69,10.5,32.75
41990,-0.07,0.07,9.59,0.01,-0.0,0.0,73.69,10.5,32.75
41992,-0.07,0.07,9.59,0.01,-0.0,0.0,73.69,10.5,32.75
41998,-0.04,0.07,9.57,0.0,0.0,0.0,73.69,10.5,32.75
42000,-0.04,0.07,9.57,0.0,0.0,0.0,73.69,10.5,32.75
42001,-0.04,0.07,9.57,0.0,0.0,0.0,73.69,10.5,32.75
42007,-0.02,0.1,9.59,0.0,-0.0,0.0,73.69,10.5,32.75
42009,-0.02,0.1,9.59,0.0,-0.0,0.0,73.69,10.5,32.75
42011,-0.02,0.1,9.59,0.0,-0.0,0.0,73.69,10.5,32.75
42014,-0.02,0.1,9.59,0.0,-0.0,0.0,73.69,10.5,32.75
42019,-0.03,0.08,9.57,0.0,0.0,0.0,73.69,10.5,32.75
42020,-0.03,0.08,9.57,0.0,0.0,0.0,73.69,10.5,32.75
42022,-0.03,0.08,9.57,0.0,0.0,0.0,73.69,10.5,32.75
42024,-0.03,0.08,9.57,0.0,0.0,0.0,73.69,10.5,32.75
42026,-0.03,0.08,9.57,0.0,-0.0,0.0,73.25,10.06,34.0
42029,-0.04,0.07,9.59,0.0,-0.0,0.0,73.25,10.06,34.0
42030,-0.04,0.07,9.59,0.0,-0.0,0.0,73.25,10.06,34.0
42032,-0.04,0.07,9.59,0.0,-0.0,0.0,73.25,10.06,34.0
42038,-0.04,0.04,9.58,0.0,0.0,0.0,73.25,10.06,34.0
42040,-0.04,0.04,9.58,0.0,0.0,0.0,73.25,10.06,34.0
42042,-0.04,0.04,9.58,0.0,0.0,0.0,73.25,10.06,34.0
42048,-0.04,0.03,9.57,-0.0,0.0,0.0,73.25,10.06,34.0
42050,-0.04,0.03,9.57,-0.0,0.0,0.0,73.25,10.06,34.0
42051,-0.04,0.03,9.57,-0.0,0.0,0.0,73.25,10.06,34.0
42058,-0.03,-0.02,9.58,-0.0,0.0,0.0,73.25,10.06,34.0
42059,-0.03,-0.02,9.58,-0.0,0.0,0.0,73.25,10.06,34.0
42061,-0.03,-0.02,9.58,-0.0,0.0,0.0,73.25,10.06,34.0
42066,-0.03,-0.02,9.58,0.0,0.0,0.01,73.25,10.06,34.0
42069,-0.05,-0.04,9.6,0.0,0.0,0.01,73.25,10.06,34.0
42071,-0.05,-0.04,9.6,0.0,0.0,0.01,73.25,10.06,34.0
42072,-0.05,-0.04,9.6,0.0,0.0,0.01,73.25,10.06,34.0
42074,-0.05,-0.04,9.6,0.0,0.0,0.01,73.25,10.06,34.0
42076,-0.05,-0.04,9.6,-0.0,0.0,0.0,73.25,10.5,34.0
